"frame","x [nm]","y [nm]","intensity [photon]"
2054,1626.42923,4120.635,20605.63733
2054,8193.95518,19037.42843,240077.08196
2054,11220.31959,2528.86796,78594.3234
2054,16208.14954,10848.37799,24028.16196
2054,16934.30519,15376.9423,24973.71126
2054,20520.14466,18107.91631,66742.05016
2054,22091.90359,7062.66439,125496.15093
2054,23211.38079,23083.27952,33223.37879
2054,27525.20826,6435.77721,64013.45711
2054,32288.75325,11842.26029,248048.7893
2054,33850.52718,18890.73686,19665.14111
2054,51334.3237,3097.9361,15873.87701
2054,55468.87903,14919.25526,9465.76104
2054,56765.06467,7652.3348,13079.9145
2054,57251.85227,15815.20087,56391.77211
2054,61105.63482,20309.27841,8182.33908
2055,2215.66226,4412.79686,64283.38206
2055,4566.11663,15751.22735,23732.97392
2055,11604.16492,3415.98909,73138.28993
2055,13160.43126,14317.47113,13346.92785
2055,16003.22009,10426.44272,18771.11649
2055,16862.22752,14607.14936,319764.02571
2055,20876.75099,18370.69597,89603.16296
2055,21858.81065,22053.7131,31254.46817
2055,22786.592,7047.05576,26742.59939
2055,23285.24417,22958.29816,267712.99934
2055,27934.32912,6788.90058,10379.76482
2055,28468.59089,22339.6407,25862.21573
2055,32566.38505,12029.58789,23098.61652
2055,34351.57421,18855.80172,32316.1817
2055,41386.78969,2731.00508,22895.79898
2055,52579.68494,13337.9564,14453.64293
2055,56222.25394,7276.5706,105174.15345
2055,57707.23164,6714.94619,18030.59587
2055,57667.30058,15602.59549,18202.80999
2055,60173.9678,5381.63027,22871.94479
2056,4128.45577,4395.27225,30130.6004
2056,6260.00433,3380.80419,69812.12116
2056,8979.84605,18608.4248,221631.23469
2056,11312.61854,15100.91782,14243.90805
2056,16470.90826,12713.56728,239339.1039
2056,22362.30788,21540.74783,137380.55254
2056,23499.62406,6533.98988,273607.92902
2056,23622.22492,22620.35249,18966.65857
2056,28023.06407,7273.26474,2922.94446
2056,28653.22661,21294.77508,15658.2517
2056,40918.9825,1585.47044,11932.5266
2056,51874.97851,12762.45257,12394.70818
2056,52133.48671,18135.5585,2881.81574
2056,59263.86646,5020.49689,22699.82383
2057,6568.10108,3091.61145,61689.87328
2057,9288.628,19198.53497,40113.27718
2057,11236.08866,14862.69883,15851.72524
2057,13067.76835,2528.60411,12961.79804
2057,17946.21222,13125.19426,29086.39901
2057,21468.18581,21604.89143,161273.58151
2057,22223.14278,6523.0844,41129.64724
2057,23378.89281,22245.36445,18393.68213
2057,27819.32458,7583.29169,65391.23496
2057,28485.99734,21499.87679,22039.74511
2057,31678.61303,16009.36987,188958.71036
2057,40689.24073,2150.1749,7506.65109
2057,51959.80958,12338.25753,9569.01227
2057,56503.95112,6188.25905,5146.04708
2057,56801.7756,14706.69581,7384.60355
2057,62111.58412,4612.33478,17527.14928
2058,6477.27852,3498.57991,31833.77794
2058,10654.92816,15882.12698,28150.70104
2058,10800.83957,18720.74973,32905.50129
2058,12664.36108,14927.65988,28700.00085
2058,13518.12642,2742.41553,38406.87647
2058,14904.23727,6832.49067,35270.62091
2058,16665.31517,21635.22547,8203.84422
2058,17595.35291,12913.7849,23188.64108
2058,22633.64913,7100.22622,188583.28722
2058,22950.94605,21622.893,270785.76242
2058,26728.38985,5733.79805,14246.59897
2058,26977.68244,3219.1282,13739.55064
2058,27676.29722,21427.3702,3980.36003
2058,27785.96415,7249.59416,57027.09826
2058,31496.49719,16576.7436,46488.40083
2058,34767.62476,18734.48083,200795.37388
2058,37950.28922,5855.06521,67707.18854
2058,42522.51022,12001.59823,19887.25982
2058,56339.04696,6640.6225,45048.69702
2058,57433.92924,14262.61322,37680.77332
2058,59852.71156,5816.39103,9577.88323
2058,60748.25785,8007.14853,6371.81069
2059,3229.09423,6587.85459,13525.70037
2059,6564.69465,3303.0521,66558.2231
2059,6820.14825,13609.18543,9126.84381
2059,10154.61779,16484.75686,11099.22209
2059,12309.6933,2814.69514,31705.09575
2059,16749.43284,21940.77036,18452.50087
2059,18807.99341,13431.55196,132674.13595
2059,21729.70247,22106.306,5890.84004
2059,23171.58853,7537.04728,29161.36431
2059,26255.67868,6590.01494,19306.15711
2059,27301.96922,7995.18309,3962.76086
2059,28095.35866,20786.23931,16002.61069
2059,31151.67474,16555.07254,49980.04362
